SI. No.,Name of Institution,Number of Hostels - Boys,Number of Hostels - Girls,Number of Hostels - Others,Number of Hostels - Total,Intake Capacity - Boys,Intake Capacity - Girls,Intake Capacity - Others,Intake Capacity - Total,Number of Students Residing - Boys,Number of Students Residing - Girls,Number of Students Residing - Others,Number of Students Residing - Total
4278,"KEVLANAND B.ED. COLLEGE, DARANAGAR GANJ (Id: C-45161)",1,1,0,2,100,100,NA,200,38,26,NA,64
4279,"Keyi Sahib Training College, Karimbam, Taliparamba, Kannur (Id: C-43886)",1,1,0,2,100,150,NA,250,12,30,NA,42
4280,K.G. College of Arts and Science (Id: C-41125),1,1,0,2,150,108,NA,258,97,200,NA,297
4281,"K.G. COLLEGE OF NURSING COIMBATORE, COIMBATORE (Id: C-45530)",1,1,0,2,110,900,NA,1010,2,500,NA,502
4282,"K.G. COLLEGE OF PHYSIOTHERAPY COIMBATORE, COIMBATORE (Id: C-45534)",1,1,0,2,120,870,NA,990,38,86,NA,124
4283,K G F College of Dental Sciences (Id: C-40161),1,1,0,2,120,120,NA,240,22,100,NA,122
4284,"K.G. HOSPITALAND POST GRADUATE MEDICAL INSTITUTE COIMBATORE, COIMBATORE (Id: C-45557)",1,1,0,2,110,900,NA,1010,2,500,NA,502
4285,KGISL Institute of Information Management (Id: C-41127),1,1,0,2,120,120,NA,240,21,26,NA,47
4286,KGiSL Institute of Technology (Id: C-36989),1,1,0,2,260,122,NA,382,260,122,NA,382
4287,K.G.R.L. College Of Pharmacy (Id: C-24375),1,1,0,2,100,100,NA,200,50,50,NA,100
4288,"Khadir Mohideen College, Adirampattinam - 614 701. (Id: C-35867)",0,1,0,1,NA,100,NA,100,NA,30,NA,30
4289,Khagarijan College (Id: C-17338),0,1,0,1,NA,12,NA,12,NA,0,NA,0
4290,"Khaira College, (Id: C-21395)",0,1,0,1,NA,165,NA,165,NA,165,NA,165
4291,KHAIR KANYA MAHAVIDYALAYA KHAIR ALIGARH (Id: C-15185),0,1,0,1,NA,100,NA,100,NA,25,NA,25
4292,Khaja Banda Nawaz Rural Institute of Medical Sciences (Id: C-40070),1,1,1,3,90,219,60,369,90,120,60,270
4293,"Khallikote (Autonomous) College, Berhampur (Id: C-39410)",2,2,0,4,270,195,NA,465,252,208,NA,460
4294,Khalsa College Amritsar (Id: C-27937),3,4,0,7,275,388,NA,663,282,400,NA,682
4295,"Khalsa College of Nursing, Amritsar (Id: C-29245)",0,1,0,1,NA,200,NA,200,NA,150,NA,150
4296,"Khalsa College of Pharmacy, Amritsar (Id: C-10445)",1,1,0,2,300,200,NA,500,50,100,NA,150
4297,Kha-Manipur College (Id: C-9437),1,1,0,2,48,30,NA,78,0,0,NA,0
4298,Khamargachi B. Ed. College (Id: C-44740),1,1,0,2,50,50,NA,100,27,18,NA,45
4299,"Khambale (Bha.), Near MIDC,Tasgaon Road, VITA (Id: C-11007)",1,1,0,2,350,250,NA,600,320,154,NA,474
4300,"KHANDELWAL COLLEGE OF ARCHITECTURE AND DESIGN, BAREILLY (Id: C-46720)",0,1,0,1,NA,150,NA,150,NA,150,NA,150
4301,"KHANDELWAL COLLEGE OF MANAGEMENT SCIENCE AND TECHNOLOGY, BAREILLY (Id: C-46721)",0,1,0,1,NA,150,NA,150,NA,150,NA,150
4302,Khandelwal College of Management Science and Technology (Id: C-13349),0,1,0,1,NA,150,NA,150,NA,150,NA,150
4303,Kharagpur College (Id: C-19091),1,1,0,2,63,51,NA,114,63,51,NA,114
4304,kharagpur Homoeopathic Medical College and Hospital (Id: C-16385),1,1,0,2,100,100,NA,200,30,65,NA,95
4305,"Kharasrota Mohavidyalaya, Singhpur,Jajpur (Id: C-39787)",0,1,0,1,NA,60,NA,60,NA,23,NA,23
4306,Khatra Adibasi Mahavidyalaya (Id: C-44631),2,0,0,2,50,NA,NA,50,50,NA,NA,50
4307,Khejuri College (Id: C-19072),1,0,0,1,30,NA,NA,30,30,NA,NA,30
4308,Kiang Nangbah Government College (Id: C-16370),1,0,0,1,42,NA,NA,42,42,NA,NA,42
4309,Kidwai Memorial Inst. of Oncology (Id: C-40160),0,0,3,3,NA,NA,73,73,NA,NA,64,64
4310,"KIET SCHOOL OF PHARMACY, GHAZIABAD (Id: C-46130)",1,1,0,2,220,285,NA,505,218,279,NA,497
4311,KIIT COLLEGE OF EDUCATION (Id: C-28209),1,1,0,2,125,150,NA,275,0,6,NA,6
4312,"KIIT College of Engg.Sohna Road,Bhondsi (Gurgaon) (Id: C-28203)",1,1,0,2,125,150,NA,275,86,45,NA,131
4313,"KILPAUK MEDICAL COLLEGE CHENNAI, CHENNAI (Id: C-45405)",2,0,1,3,500,NA,100,600,490,NA,100,590
4314,"KIMS College of Engineering Amalapuram,(CC-2Q) (Id: C-18074)",1,1,0,2,100,50,NA,150,70,20,NA,90
4315,K.Indira College of Education (Id: C-14801),1,1,0,2,100,100,NA,200,17,56,NA,73
4316,King College of Arts and Science for Women (Id: C-9524),0,1,0,1,NA,100,NA,100,NA,100,NA,100
4317,King College of Technology (Id: C-36959),1,1,0,2,500,350,NA,850,347,236,NA,583
4318,"KIng Nandivarman college of Arts and Science,Thellar- 604406 (Id: C-36375)",1,1,0,2,200,150,NA,350,30,15,NA,45
4319,Kings College of Engineering (Id: C-25038),1,1,0,2,600,453,NA,1053,239,438,NA,677
4320,Kings Engineering College (Id: C-16466),1,1,0,2,400,300,NA,700,330,215,NA,545
4321,Kingston Engineering College (Id: C-16602),1,1,0,2,180,180,NA,360,83,95,NA,178
4322,Kingston School of Management and Science 173-WBUT (Id: C-6177),0,0,1,1,NA,NA,30,30,NA,NA,4,4
4323,"KIPM COLLEGE OF ENGINEERING AND TECHNOLOGY, GORAKHPUR (Id: C-46774)",1,1,0,2,81,81,NA,162,0,0,NA,0
4324,"KIPM COLLEGE OF MANAGEMENT, GORAKHPUR (Id: C-46775)",1,1,0,2,81,81,NA,162,81,30,NA,111
4325,Kirodimal .Govt. College Raigarh (Id: C-22390),1,0,0,1,50,NA,NA,50,0,NA,NA,0
4326,Kirodimal Institute of Technology Garh Umaria Raigarh. (Id: C-16664),1,0,0,1,60,NA,NA,60,30,NA,NA,30
4327,Kirori Mal College (Id: C-6385),1,0,0,1,170,NA,NA,170,170,NA,NA,170
4328,"Kisan College, Sohsarai (Id: C-12907)",1,1,0,2,126,140,NA,266,0,0,NA,0
4329,"Kisanlal Nathmal Arts, Commerce College, Karanja (Lad). (Id: C-43192)",0,1,0,1,NA,100,NA,100,NA,0,NA,0
4330,"Kisan Veer Mahavidyalaya, WAI (Id: C-10993)",0,1,0,1,NA,32,NA,32,NA,2,NA,2
4331,"KISHAN INSTITUTE OF ENGINEERING AND TECHNOLOGY, MEERUT (Id: C-46418)",1,1,0,2,66,60,NA,126,40,10,NA,50
4332,"Kishan P.G.College, Raksa, Ratsar, Ballia (Id: C-13702)",1,1,0,2,22,40,NA,62,12,32,NA,44
4333,KITE College of Professional Engineering Sciences (Id: C-19883),1,1,0,2,200,200,NA,400,100,50,NA,150
4334,KITE Women's College of Professional Engineering Sciences (Id: C-19686),0,1,0,1,NA,200,NA,200,NA,180,NA,180
4335,"Kittel Arts College, Dharwad (Id: C-35607)",1,0,0,1,70,NA,NA,70,47,NA,NA,47
4336,"K.J's Educational Institutes K.J.College of Engineering and Management Research Village Pisoli, Pune 48 (Id: C-42081)",1,0,0,1,250,NA,NA,250,100,NA,NA,100
4337,"K.J.S. Education Society's Tinity College of Engineering and Research, Pisoli, Pune (Id: C-41957)",1,0,0,1,1000,NA,NA,1000,300,NA,NA,300
4338,K.J. Somaiya Bharatiya Sanskrit Peetham (Id: C-16276),1,0,0,1,10,NA,NA,10,10,NA,NA,10
4339,K J Somaiya College of Arts and Commerce Vidyanagar Campus Vidyavihar Mumbai 400 077 (Id: C-33509),2,0,0,2,60,NA,NA,60,16,NA,NA,16
4340,"K. J. Somaiya College of Physiotherapy, Sion, Mumbai. (Id: C-13961)",1,1,0,2,10,5,NA,15,0,0,NA,0
4341,K J Somaiya College of Science and Commerce Vidyanagar Vidyavihar Mumbai 400 077 (Id: C-33631),0,0,1,1,NA,NA,270,270,NA,NA,17,17
4342,"K. J. Somaiya Medical College, Sion, Mumbai (Id: C-13769)",0,0,1,1,NA,NA,360,360,NA,NA,300,300
4343,K.K.C. College of Engineering and Technology (New) (Id: C-25035),1,1,0,2,320,280,NA,600,85,6,NA,91
4344,"K.K. COLLEGE OF PHARMACY CHENNAI, CHENNAI (Id: C-45422)",1,1,0,2,50,50,NA,100,25,32,NA,57
4345,"KKECS COLLEGE OF PHARMACY, BANGALORE (Id: C-47517)",1,1,0,2,40,40,NA,80,0,0,NA,0
4346,"K. K. M. Arts Commerce and Science College, Manwat (Id: C-7295)",0,1,0,1,NA,40,NA,40,NA,20,NA,20
4347,K. K. M. College of Education (Id: C-6023),1,1,0,2,40,150,NA,190,0,0,NA,0
4348,KKM COLLEGE OF EDUCATION PILVAI (Id: C-6768),0,1,0,1,NA,100,NA,100,NA,0,NA,0
4349,"K K M COLLEGE, PAKUR (Id: C-45398)",5,1,0,6,250,50,NA,300,328,60,NA,388
4350,K.K.PAREKH COMM.. COLLEGE -AMRELI (Id: C-831),0,1,0,1,NA,35,NA,35,NA,0,NA,0
4351,"KKRandKSR Institute of Technology and Sciences, VINJANAMPADU Village (CC-JR) (Id: C-18118)",1,1,0,2,35,124,NA,159,31,75,NA,106
4352,"KKS B.S.W.College, Gadag-Betageri. (Id: C-35510)",0,1,0,1,NA,100,NA,100,NA,80,NA,80
4353,K.K.S. College (Id: C-21372),0,1,0,1,NA,120,NA,120,NA,120,NA,120
4354,K. K. Shashtri Goverment Science College (Id: C-5947),0,1,0,1,NA,2,NA,2,NA,0,NA,0
4355,K. K. Shashtri Government BCA College (Id: C-6073),0,1,0,1,NA,2,NA,2,NA,0,NA,0
4356,"K.K.Wagh Education Societys College of Engineering, Hirabai Haribai Vidyanagari, Panchavati, Nashik 422003 (Id: C-41256)",1,1,0,2,306,152,NA,458,312,141,NA,453
4357,K.L. College of Horticulture (Id: C-33309),1,1,0,2,84,32,NA,116,50,28,NA,78
4358,"KLE College of Pharmacy, Bangalore (Id: C-24502)",1,1,0,2,190,180,NA,370,190,180,NA,370
4359,"KLE COLLEGE OF PHARMACY, BELGAUM (Id: C-24505)",1,1,0,2,250,250,NA,500,180,185,NA,365
4360,"KLE College of Pharmacy, Hubli (Id: C-24506)",1,2,0,3,90,450,NA,540,0,20,NA,20
4361,"KLE GI BAGEWADI ARTS, SCIENCE AND COMMERCE COLLEGE, NIPANI (Id: C-9898)",2,1,0,3,74,171,NA,245,74,171,NA,245
4362,K L E Institute of Nursing Sciences (Id: C-40529),0,1,0,1,NA,125,NA,125,NA,91,NA,91
4363,KLE Institute of Nursing Sciences (Id: C-24500),0,1,0,1,NA,276,NA,276,NA,276,NA,276
4364,KLE INSTITUTE OF PHYSIOTHERAPY (Id: C-24507),1,1,0,2,130,178,NA,308,36,132,NA,168
4365,"KLE Institute of Technology, HUBLI (Id: C-1252)",1,1,0,2,100,120,NA,220,100,120,NA,220
4366,"KLEs Arts and Commerce College, Ankola (UK) (Id: C-35608)",0,1,0,1,NA,70,NA,70,NA,0,NA,0
4367,"KLE's Arts and Commerce College, Gadag-Betageri (Id: C-35524)",0,1,0,1,NA,40,NA,40,NA,1,NA,1
4368,"K L Es College of Engg. and Technology, BELGAUM (Id: C-1373)",2,2,0,4,340,494,NA,834,340,482,NA,822
4369,"KLEs College of Engineering and Technology, Chikkodi (Id: C-1237)",1,1,0,2,220,200,NA,420,170,159,NA,329
4370,KLEs College Of Pharmacy Nipani (Id: C-44932),1,1,0,2,60,72,NA,132,25,32,NA,57
4371,"KLEs Education College, Ankola, Dt: Karwar. (Id: C-35688)",0,1,0,1,NA,50,NA,50,NA,4,NA,4
4372,KLEs G.H.College Haveri (Id: C-35535),0,1,0,1,NA,72,NA,72,NA,58,NA,58
4373,"KLE'S G I BAGEWADI BBA COLLEGE, NIPPANI (Id: C-10017)",2,1,0,3,150,110,NA,260,27,17,NA,44
4374,"KLE'S G I BAGEWADI BCA COLLEGE , NIPPANI (Id: C-9972)",2,1,0,3,150,110,NA,260,27,17,NA,44
4375,"KLEs Institute of Management Studies and Research, Vidya nagar, Hubli (Id: C-35517)",0,1,0,1,NA,25,NA,25,NA,11,NA,11
4376,K.L.E Societies J.T College of B.B.A Gadag. (Id: C-35550),1,1,0,2,85,100,NA,185,10,10,NA,20
4377,"K.L.E. Society Law College, Bangalore (Id: C-9866)",1,1,0,2,150,120,NA,270,130,100,NA,230
4378,"K.L.E. Society Law College, Chikodi (Id: C-9795)",1,1,0,2,30,30,NA,60,4,2,NA,6
4379,"KLE SOCIETYS COLLEGE OF EDUCATION, BELGAUM (Id: C-10203)",1,1,0,2,20,20,NA,40,0,6,NA,6
4380,"KLE Society's Degree College, 2nd Stage, 3rd Block, Next to BDA Complex, Nagarabhavi, Bangalore-560 072. (9-10) (Id: C-21231)",1,1,0,2,195,120,NA,315,0,0,NA,0
4381,K L E Society’s Institute of Dental Sciences (Id: C-40342),1,1,0,2,190,170,NA,360,190,170,NA,360
4382,KLE Society's Institute of Fashion Technology and apparel Design women college Belgaum-590001 (Id: C-8682),0,1,0,1,NA,40,NA,40,NA,12,NA,12
4383,KLE Societys Institute of Nursing Sciences (Id: C-40092),1,1,0,2,75,100,NA,175,20,90,NA,110
4384,"KLE Society's Lingaraj College, Belgaum (Id: C-44848)",1,4,0,5,138,529,NA,667,29,56,NA,85
4385,"K.L.E Society S. Nijalingappa College, Rajajinagar, Bangalore-10 (Id: C-21004)",0,0,1,1,NA,NA,360,360,NA,NA,345,345
4386,"KLES R.L. SCIENCE INSTITUTE , BELGAUM (Id: C-10022)",1,4,0,5,110,406,NA,516,16,109,NA,125
4387,"KLE'S S.C.P ARTS AND D.D. SHIROL COMMERCE COLLEGE, MAHALINGPUR(PG) (Id: C-10128)",0,1,0,1,NA,60,NA,60,NA,60,NA,60
4388,KLESs J.G.Commerce College Hubli (Id: C-35582),1,1,0,2,60,30,NA,90,60,30,NA,90
4389,"KLESs J.T.college of Arts, Science and Commerce Gadag. (Id: C-35654)",1,1,0,2,85,100,NA,185,85,96,NA,181
4390,K.L.Es Societies G.H B.C.A College Haveri. (Id: C-35653),0,1,0,1,NA,60,NA,60,NA,60,NA,60
4391,KLE's Society's Women Arts and Commerce College Gadag-Betageri-582 110 (Id: C-8643),0,1,0,1,NA,40,NA,40,NA,1,NA,1
4392,"KLESs P.C.Jabin Science College, Hubli (Autonomous) (Id: C-35573)",1,2,0,3,72,293,NA,365,72,293,NA,365
4393,"KLESs Sri.Kaddasiddeshwar Arts and HSK Science Institute, Hubli (Id: C-35543)",0,1,0,1,NA,66,NA,66,NA,66,NA,66
4394,"KLEU'S SHRI.B.M.K. AYURVEDA MAHAVIDYALAYA,BELGAUM (Id: C-24501)",1,1,0,2,97,180,NA,277,76,172,NA,248
4395,KLE VISHWANATH KATTI INSTITUTE OF DENTAL SCIENCES (Id: C-24504),1,2,0,3,176,704,NA,880,149,304,NA,453
4396,K.L.Mehta D.N.Coll. for Women (Id: C-28384),0,1,0,1,NA,24,NA,24,NA,0,NA,0
4397,K.L.N. B.Ed College (Id: C-15024),1,1,0,2,100,100,NA,200,0,8,NA,8
4398,"K.L.N. College of Engineering Pottapalayam, Sivagangai Dist (Id: C-26785)",2,1,0,3,449,222,NA,671,435,217,NA,652
4399,"K.L.N. College of Information Technology, Pottapalayam, Sivagangai Dist (Id: C-26812)",1,1,0,2,210,200,NA,410,196,193,NA,389
4400,"KLS GOGTE COLLEGE OF COMMERCE, BELGAUM (Id: C-10124)",1,1,0,2,86,175,NA,261,86,175,NA,261
4401,"K L S INSTITUTE OF ENGG AND TECHNOLOGY, BIJNAUR (Id: C-46733)",1,0,0,1,80,NA,NA,80,60,NA,NA,60
4402,"KLS INST. OF MANAGEMENT EDUCATION and RESEARCH, BELAGAVI (PG) (Id: C-10073)",0,1,0,1,NA,10,NA,10,NA,10,NA,10
4403,"KMBB College of Engineering and Technology, Bhubaneswar (Id: C-30051)",6,1,0,7,240,50,NA,290,196,38,NA,234
4404,"K.M.B.Ed., College of Education (Id: C-15005)",0,1,0,1,NA,50,NA,50,NA,12,NA,12
4405,"K.M.C.H. COLLEGE OF NURSING COIMBATORE, COIMBATORE (Id: C-45520)",0,1,0,1,NA,500,NA,500,NA,450,NA,450
4406,"K.M.C.H. COLLEGE OF OCCUPATIONAL THERAPY COIMBATORE, COIMBATORE (Id: C-45529)",1,1,0,2,40,70,NA,110,32,55,NA,87
4407,"K.M.C.H. COLLEGE OF PARAMEDICAL SCIENCES COIMBATORE, COIMBATORE (Id: C-45524)",1,1,0,2,50,75,NA,125,40,60,NA,100
4408,"K.M.C.H. COLLEGE OF PHARMACY COIMBATORE, COIMBATORE (Id: C-45528)",1,1,0,2,100,200,NA,300,50,110,NA,160
4409,"K.M. COLLEGE OF PHARMACY MADURAI, MADURAI (Id: C-45636)",1,1,0,2,75,125,NA,200,50,100,NA,150
4410,"K.M. COLLEGE OF TEACHER EDUCATION, VALILLAPUZHA (Id: C-8051)",0,1,0,1,NA,20,NA,20,NA,20,NA,20
4411,"KMCT COLLEGE OF NURSING, MAMPATTA, KOZHIKKODE (Id: C-8194)",1,2,0,3,50,150,NA,200,4,95,NA,99
4412,"KMCT ENGINEERING COLLEGE, MANASSERY, MUKKAM (Id: C-7996)",2,2,0,4,300,350,NA,650,285,337,NA,622
4413,"KMCT ENGINEERING COLLEGE (WOMEN), MUKKAM (Id: C-8221)",0,3,0,3,NA,330,NA,330,NA,316,NA,316
4414,"K.M.E.A Engineering College, Kuzhivelipady, Edathala, Aluva, Ernakulam 683 561 (Id: C-11571)",1,1,0,2,100,150,NA,250,95,140,NA,235
4415,"K.M.G.college of ARTSandSCIENCE ,R.S.ROAD,Ammananguppam,Gudiyatham-635 803 (Id: C-36372)",1,1,0,2,50,50,NA,100,20,15,NA,35
4416,K.M.G. College of Education (Id: C-14906),1,1,0,2,40,50,NA,90,5,10,NA,15
4417,K.M.G. College of Education (Id: C-14912),1,0,0,1,50,NA,NA,50,0,NA,NA,0
4418,"K.M.M. College of Arts and Science, Thrikkakara. Cochin - 682 021 (Id: C-11807)",1,1,0,2,100,150,NA,250,45,68,NA,113
4419,"K.M.M Govt Women's College , Kannur (Id: C-43857)",0,1,0,1,NA,40,NA,40,NA,60,NA,60
4420,"KM Patel College of Physiotherapy, Karamsad (Id: C-1190)",1,1,0,2,20,87,NA,107,8,52,NA,60
4421,"K.M Women's College,Keonjhar (Id: C-10917)",0,1,0,1,NA,250,NA,250,NA,250,NA,250
4422,K. Nanjappa Gownder College of Education (Id: C-14436),1,1,0,2,100,100,NA,200,15,28,NA,43
4423,K.N.BHESE ARTS SCINCE COMMERCE COLLEGE KURUDWADI 413 208 TAL.MADHA DIST-SOLAPUR (Id: C-15801),0,1,0,1,NA,56,NA,56,NA,0,NA,0
4424,"K N G D MODI ENGIEERING COLLEGE, MODINAGAR (Id: C-46987)",2,1,0,3,373,180,NA,553,331,90,NA,421
4425,"KNK COLLEGE OF HORTICULTURE, MANDSAUR (Id: C-45272)",1,1,0,2,100,24,NA,124,74,24,NA,98
4426,K N N College of Nursing (Id: C-40482),1,3,0,4,30,300,NA,330,26,283,NA,309
4427,"KNOWLEDGE BUSINESS SCHOOL, SALEM (Id: C-45301)",1,1,0,2,300,100,NA,400,10,5,NA,15
4428,Knowledge Institute of Technology (Id: C-37058),1,1,0,2,300,100,NA,400,175,46,NA,221
4429,"K N S Institute of Technology, BANGALORE (Id: C-1276)",1,1,0,2,225,175,NA,400,152,28,NA,180
4430,K.N.S.K. College of Engineering and Technology (Id: C-27092),1,1,0,2,500,200,NA,700,50,50,NA,100
4431,"KNVV'S ARTS and COMMERCE COLLEGE, KITTUR (Id: C-10082)",1,1,0,2,20,25,NA,45,10,0,NA,10
4432,KODAIKANAL CHRISTIAN COLLEGE (Id: C-36505),2,2,0,4,104,186,NA,290,78,98,NA,176
4433,"Kodaikanal Institute of Technology, Kodaikanal (Id: C-26782)",1,1,0,2,250,60,NA,310,169,45,NA,214
4434,Kohima College (Id: C-16753),0,1,0,1,NA,50,NA,50,NA,44,NA,44
4435,Kohima Science College (Id: C-16721),4,0,0,4,233,NA,NA,233,233,NA,NA,233
4436,"Koira Degree College,Koira (Id: C-40883)",0,1,0,1,NA,40,NA,40,NA,0,NA,0
4437,Kokrajhar Govt. College (Id: C-17237),2,1,0,3,96,84,NA,180,94,84,NA,178
4438,"Kolhapur Institute of Technology's College of Engineering, GOKUL-SHIRGAON (Id: C-10996)",1,1,0,2,300,100,NA,400,726,1328,NA,2054
4439,"Kolhapur Institute of Technology's Institute of Management and Research, GOKUL-SHIRGAON, (Id: C-11220)",1,1,0,2,300,100,NA,400,300,100,NA,400
4440,"Kol Valley Institutes of Nursing, Vill Nehar, Harnora. Bilaspur (Id: C-11341)",0,3,0,3,NA,220,NA,220,NA,208,NA,208
4441,"Konark Institute of Science and Technology (KIST), Bhubaneswar (Id: C-30179)",1,1,0,2,384,192,NA,576,384,192,NA,576
4442,Konaseema Institute Of Mgt. Sciences and College Of Engineering (Id: C-24341),1,1,0,2,100,50,NA,150,70,20,NA,90
4443,Kongu Arts and Science College (Id: C-41104),1,1,0,2,300,435,NA,735,223,364,NA,587
4444,"Kongu College of Arts and Science, Deeran Chinnamalai Nagar, Karur - 639 006. (Id: C-35794)",1,1,0,2,30,30,NA,60,16,15,NA,31
4445,Kongu Engineering College (Id: C-37065),5,4,0,9,2627,1828,NA,4455,2411,1589,NA,4000
4446,Kongunadu Arts and Science College (Id: C-41106),1,1,0,2,370,507,NA,877,350,500,NA,850
4447,Kongunadu College of Education (Id: C-14675),1,1,0,2,50,50,NA,100,7,0,NA,7
4448,Kongunadu College of Education (Id: C-14690),1,1,0,2,60,35,NA,95,0,2,NA,2
4449,Kongunadu College of Engineering and Technology (Id: C-24986),1,1,0,2,1000,500,NA,1500,560,296,NA,856
4450,"KONGUNADU COLLEGE OF NURSING COIMBATORE, COIMBATORE (Id: C-45551)",0,1,0,1,NA,300,NA,300,NA,250,NA,250
4451,Konkan Education Societys Dr Chintamanrao Deshmukh Commerce Sau KG Tamhane Arts College Roha Dist Raigad 402 109 (Id: C-33784),0,1,0,1,NA,48,NA,48,NA,0,NA,0
4452,Konkan Gyanpeeth College of Engineering Vengaon Road Dahivali Tal Karjat Dist Raigad 410 201 (Id: C-33785),1,1,0,2,40,30,NA,70,40,30,NA,70
4453,"Kopargaon Taluka Education Societys K.J.Somaiya College of Arts,Commerce and Science College, Mohinirajnagar, Kopargaon, Dist.Ahmednagar 423601 (Id: C-41823)",1,1,0,2,50,100,NA,150,40,100,NA,140
4454,KORM College of Engineering (Id: C-26991),1,1,0,2,216,268,NA,484,110,71,NA,181
4455,"Koshys College, No.31/1, Hennur-Bagalur Road, Kadusonnappana Halli, Bangalore -562 149 (Id: C-20942)",1,1,2,4,288,320,141,749,250,311,117,678
4456,Koshys College of Nursing (Id: C-40591),1,1,0,2,400,400,NA,800,25,250,NA,275
4457,"Kothari College, Sankhan Tal (Id: C-40720)",0,1,0,1,NA,35,NA,35,NA,0,NA,0
4458,"Kothari T.T. College, Sankhan Tal (Id: C-40781)",1,0,0,1,40,NA,NA,40,10,NA,NA,10
4459,Kothiwal Dental College and Research Centre (Id: C-13457),2,2,1,5,228,88,220,536,200,78,200,478
4460,Kotibarsha Institute of Technology and Management 202-WBUT (Id: C-6145),1,1,0,2,30,20,NA,50,15,8,NA,23
4461,Kottam Institute of Pharmacy (Id: C-19599),0,0,1,1,NA,NA,120,120,NA,NA,40,40
4462,"KOTTAYAM INSTITUTE OF TECHNOLOGY and SCIENCE, CHENGALAM EAST, ANICKAD (Id: C-48180)",1,1,0,2,180,76,NA,256,96,33,NA,129
4463,"Kottureshwara Degree College, Kottur. (Id: C-8593)",2,1,0,3,320,120,NA,440,320,120,NA,440
4464,"Kotturswamy College of Teacher Education, Bellary - 583 103. (Id: C-8576)",1,1,0,2,100,50,NA,150,0,12,NA,12
4465,"Kotturswamy M.Ed., Study Centre, Bellary - 583 103. (Id: C-8566)",1,0,0,1,100,NA,NA,100,0,NA,NA,0
4466,"Koutilya First Grade College,Kanakadasa Nagar Dattagalli (Id: C-17452)",1,0,0,1,100,NA,NA,100,0,NA,NA,0
4467,Kovai Kalaimagal College of Arts and Science (Id: C-41034),1,1,0,2,100,100,NA,200,44,19,NA,63
4468,"KOVAI MEDICAL CENTER AND HOSPITAL LIMITED COIMBATORE, COIMBATORE (Id: C-45567)",1,1,0,2,100,100,NA,200,74,58,NA,132
4469,Koviloor Andavar College of Physical Education (Id: C-7941),1,1,0,2,180,42,NA,222,91,23,NA,114
4470,K Pandyarajah Ballal Nursing Institute College of Nursing (Id: C-40506),0,1,0,1,NA,500,NA,500,NA,161,NA,161
4471,K P C medical College (Id: C-16383),1,1,0,2,600,360,NA,960,600,360,NA,960
4472,"K.P.INSTITUTE OF PFOFESSIONAL STUDIES ETMADPUR, AGRA (Id: C-15462)",1,1,0,2,180,180,NA,360,50,40,NA,90
4473,K.P.Patel School of Management and Computer Studies (KSMCS) -MCA Programmme.(SFI)-((513)Kapadwanj (Id: C-245),0,1,0,1,NA,45,NA,45,NA,0,NA,0
4474,KPR Institute of Engineering and Technology (Id: C-36999),2,1,0,3,168,84,NA,252,168,84,NA,252
4475,"KPRM College of Nursing, Ongole (Id: C-30497)",0,1,0,1,NA,40,NA,40,NA,0,NA,0
4476,KPR School of Business (Id: C-37079),1,1,0,2,148,112,NA,260,72,51,NA,123
4477,"K.P.S. Sna College, H.Ganj (Id: C-12896)",0,1,0,1,NA,60,NA,60,NA,30,NA,30
4478,K P S V Shri Virupaksha Ayurvedic Medical College (Id: C-40259),1,1,0,2,80,50,NA,130,76,50,NA,126
4479,K.Ramakrishnan College of Engineering (Id: C-24983),1,1,0,2,678,276,NA,954,321,201,NA,522
4480,K.Ramakrishnan College of Technology(New) (Id: C-25054),1,1,0,2,678,276,NA,954,321,201,NA,522
4481,"Krantisinh Nana Patil College of Veterinary Science, Shirwal (Id: C-44024)",1,1,0,2,150,40,NA,190,150,40,NA,190
4482,"K.R.Bellad Arts and Commerce College, Mundargi. (Id: C-35652)",2,0,0,2,600,NA,NA,600,180,NA,NA,180
4483,"KRCES'S GGD ARTS, BMP COMMERCE SVS SCIENCE COLLEGE, BAILHONGAL (Id: C-10160)",1,1,0,2,12,60,NA,72,12,0,NA,12
4484,"K.R.College of Arts and Science, K.R. Nagar, Kovilpatti - 628 503. (Id: C-41203)",1,1,0,2,50,100,NA,150,32,56,NA,88
4485,K R College of Nursing (Id: C-40096),1,1,0,2,50,270,NA,320,12,90,NA,102
4486,"K.R.Gouri Amma College of Engineering for Women, Valamangalam South P.O., Thuravoor, Alappuzha (Id: C-43594)",0,3,0,3,NA,300,NA,300,NA,300,NA,300
4487,"KRIPALU MAHILA MAHAVIDYALAYA, KUNDA, HARNAMGANJ, PRATAPGARH (Id: C-42645)",0,1,0,1,NA,60,NA,60,NA,50,NA,50
4488,"Krishanasamy college of Science,Arts andManagement for women,Nellikuppam High oad,S.Kumarapuram- (Id: C-36371)",0,1,0,1,NA,100,NA,100,NA,65,NA,65
4489,"Krishma Education Centre, Vill. Ner Chowk, Distt Mandi (Id: C-11387)",1,1,0,2,25,25,NA,50,9,25,NA,34
4490,"Krishna chaitanya Institute of Technology and Sciences, Jawayar nagar , MarkapurPIN-523316(CC-JU) (Id: C-17979)",0,0,2,2,NA,NA,240,240,NA,NA,170,170
4491,Krishna Chandra College (Id: C-44739),1,0,0,1,60,NA,NA,60,31,NA,NA,31
